2026-05-21 15:18:31 startup archives install
2026-05-21 15:18:31 install base-passwd:armhf <none> 3.6.1
2026-05-21 15:18:31 status half-installed base-passwd:armhf 3.6.1
2026-05-21 15:18:31 status unpacked base-passwd:armhf 3.6.1
2026-05-21 15:18:32 configure base-passwd:armhf 3.6.1 3.6.1
2026-05-21 15:18:32 status half-configured base-passwd:armhf 3.6.1
2026-05-21 15:18:33 status installed base-passwd:armhf 3.6.1
2026-05-21 15:18:33 startup archives install
2026-05-21 15:18:33 install base-files:armhf <none> 12.4+deb12u14
2026-05-21 15:18:33 status half-installed base-files:armhf 12.4+deb12u14
2026-05-21 15:18:34 status unpacked base-files:armhf 12.4+deb12u14
2026-05-21 15:18:34 configure base-files:armhf 12.4+deb12u14 12.4+deb12u14
2026-05-21 15:18:34 status half-configured base-files:armhf 12.4+deb12u14
2026-05-21 15:18:36 status installed base-files:armhf 12.4+deb12u14
2026-05-21 15:18:37 startup archives install
2026-05-21 15:18:37 upgrade dpkg 1.21.23 1.21.23
2026-05-21 15:18:37 status half-configured dpkg 1.21.23
2026-05-21 15:18:37 status unpacked dpkg 1.21.23
2026-05-21 15:18:37 status half-installed dpkg 1.21.23
2026-05-21 15:18:40 status unpacked dpkg:armhf 1.21.23
2026-05-21 15:18:40 configure dpkg:armhf 1.21.23 1.21.23
2026-05-21 15:18:40 status half-configured dpkg:armhf 1.21.23
2026-05-21 15:18:42 status installed dpkg:armhf 1.21.23
2026-05-21 15:18:43 startup archives install
2026-05-21 15:18:43 install libc6:armhf <none> 2.36-9+deb12u14
2026-05-21 15:18:43 status half-installed libc6:armhf 2.36-9+deb12u14
2026-05-21 15:18:46 status unpacked libc6:armhf 2.36-9+deb12u14
2026-05-21 15:18:46 configure libc6:armhf 2.36-9+deb12u14 2.36-9+deb12u14
2026-05-21 15:18:47 status half-configured libc6:armhf 2.36-9+deb12u14
2026-05-21 15:18:48 status installed libc6:armhf 2.36-9+deb12u14
2026-05-21 15:18:48 startup archives install
2026-05-21 15:18:49 install perl-base:armhf <none> 5.36.0-7+deb12u3
2026-05-21 15:18:49 status half-installed perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:18:50 status unpacked perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:18:50 configure perl-base:armhf 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2026-05-21 15:18:50 status half-configured perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:18:51 status installed perl-base:armhf 5.36.0-7+deb12u3
2026-05-21 15:18:51 startup archives install
2026-05-21 15:18:52 install mawk:armhf <none> 1.3.4.20200120-3.1
2026-05-21 15:18:52 status half-installed mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:18:52 status unpacked mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:18:52 configure mawk:armhf 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2026-05-21 15:18:52 status half-configured mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:18:52 status installed mawk:armhf 1.3.4.20200120-3.1
2026-05-21 15:18:54 startup archives unpack
2026-05-21 15:18:55 install adduser:all <none> 3.134
2026-05-21 15:18:55 status half-installed adduser:all 3.134
2026-05-21 15:18:55 status unpacked adduser:all 3.134
2026-05-21 15:18:56 install apt:armhf <none> 2.6.1
2026-05-21 15:18:56 status half-installed apt:armhf 2.6.1
2026-05-21 15:18:57 status unpacked apt:armhf 2.6.1
2026-05-21 15:18:58 upgrade base-files:armhf 12.4+deb12u14 12.4+deb12u14
2026-05-21 15:18:58 status half-configured base-files:armhf 12.4+deb12u14
2026-05-21 15:18:58 status unpacked base-files:armhf 12.4+deb12u14
2026-05-21 15:18:58 status half-installed base-files:armhf 12.4+deb12u14
2026-05-21 15:18:58 status unpacked base-files:armhf 12.4+deb12u14
2026-05-21 15:18:59 upgrade base-passwd:armhf 3.6.1 3.6.1
2026-05-21 15:18:59 status half-configured base-passwd:armhf 3.6.1
2026-05-21 15:18:59 status unpacked base-passwd:armhf 3.6.1
2026-05-21 15:18:59 status half-installed base-passwd:armhf 3.6.1
2026-05-21 15:18:59 status unpacked base-passwd:armhf 3.6.1
2026-05-21 15:19:00 install bash:armhf <none> 5.2.15-2+b13
2026-05-21 15:19:00 status half-installed bash:armhf 5.2.15-2+b13
2026-05-21 15:19:01 status unpacked bash:armhf 5.2.15-2+b13
2026-05-21 15:19:01 install bsdutils:armhf <none> 1:2.38.1-5+deb12u3
2026-05-21 15:19:01 status half-installed bsdutils:armhf 1:2.38.1-5+deb12u3
2026-05-21 15:19:01 status unpacked bsdutils:armhf 1:2.38.1-5+deb12u3
2026-05-21 15:19:02 install coreutils:armhf <none> 9.1-1
2026-05-21 15:19:02 status half-installed coreutils:armhf 9.1-1
2026-05-21 15:19:03 status unpacked coreutils:armhf 9.1-1
2026-05-21 15:19:04 install dash:armhf <none> 0.5.12-2
2026-05-21 15:19:04 status half-installed dash:armhf 0.5.12-2
2026-05-21 15:19:04 status unpacked dash:armhf 0.5.12-2
2026-05-21 15:19:05 install debconf:all <none> 1.5.82
2026-05-21 15:19:05 status half-installed debconf:all 1.5.82
2026-05-21 15:19:05 status unpacked debconf:all 1.5.82
2026-05-21 15:19:06 install debian-archive-keyring:all <none> 2023.3+deb12u2
2026-05-21 15:19:06 status half-installed debian-archive-keyring:all 2023.3+deb12u2
2026-05-21 15:19:10 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2026-05-21 15:19:10 install debianutils:armhf <none> 5.7-0.5~deb12u1
2026-05-21 15:19:10 status half-installed debianutils:armhf 5.7-0.5~deb12u1
2026-05-21 15:19:10 status unpacked debianutils:armhf 5.7-0.5~deb12u1
2026-05-21 15:19:11 install diffutils:armhf <none> 1:3.8-4
2026-05-21 15:19:11 status half-installed diffutils:armhf 1:3.8-4
2026-05-21 15:19:11 status unpacked diffutils:armhf 1:3.8-4
2026-05-21 15:19:12 upgrade dpkg:armhf 1.21.23 1.21.23
2026-05-21 15:19:12 status half-configured dpkg:armhf 1.21.23
2026-05-21 15:19:12 status unpacked dpkg:armhf 1.21.23
2026-05-21 15:19:12 status half-installed dpkg:armhf 1.21.23
2026-05-21 15:19:13 status unpacked dpkg:armhf 1.21.23
2026-05-21 15:19:13 install e2fsprogs:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:13 status half-installed e2fsprogs:armhf 1.47.0-2+b2
2026-05-21 15:19:14 status unpacked e2fsprogs:armhf 1.47.0-2+b2
2026-05-21 15:19:14 install findutils:armhf <none> 4.9.0-4
2026-05-21 15:19:14 status half-installed findutils:armhf 4.9.0-4
2026-05-21 15:19:14 status unpacked findutils:armhf 4.9.0-4
2026-05-21 15:19:15 install gcc-12-base:armhf <none> 12.2.0-14+deb12u1
2026-05-21 15:19:15 status half-installed gcc-12-base:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:15 status unpacked gcc-12-base:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:15 install gpgv:armhf <none> 2.2.40-1.1+deb12u2
2026-05-21 15:19:15 status half-installed gpgv:armhf 2.2.40-1.1+deb12u2
2026-05-21 15:19:16 status unpacked gpgv:armhf 2.2.40-1.1+deb12u2
2026-05-21 15:19:16 install grep:armhf <none> 3.8-5
2026-05-21 15:19:16 status half-installed grep:armhf 3.8-5
2026-05-21 15:19:17 status unpacked grep:armhf 3.8-5
2026-05-21 15:19:17 install gzip:armhf <none> 1.12-1
2026-05-21 15:19:17 status half-installed gzip:armhf 1.12-1
2026-05-21 15:19:17 status unpacked gzip:armhf 1.12-1
2026-05-21 15:19:18 install hostname:armhf <none> 3.23+nmu1
2026-05-21 15:19:18 status half-installed hostname:armhf 3.23+nmu1
2026-05-21 15:19:18 status unpacked hostname:armhf 3.23+nmu1
2026-05-21 15:19:18 install init-system-helpers:all <none> 1.65.2+deb12u1
2026-05-21 15:19:18 status half-installed init-system-helpers:all 1.65.2+deb12u1
2026-05-21 15:19:19 status unpacked init-system-helpers:all 1.65.2+deb12u1
2026-05-21 15:19:19 install libacl1:armhf <none> 2.3.1-3
2026-05-21 15:19:19 status half-installed libacl1:armhf 2.3.1-3
2026-05-21 15:19:19 status unpacked libacl1:armhf 2.3.1-3
2026-05-21 15:19:20 install libapt-pkg6.0:armhf <none> 2.6.1
2026-05-21 15:19:20 status half-installed libapt-pkg6.0:armhf 2.6.1
2026-05-21 15:19:21 status unpacked libapt-pkg6.0:armhf 2.6.1
2026-05-21 15:19:21 install libattr1:armhf <none> 1:2.5.1-4
2026-05-21 15:19:21 status half-installed libattr1:armhf 1:2.5.1-4
2026-05-21 15:19:21 status unpacked libattr1:armhf 1:2.5.1-4
2026-05-21 15:19:22 install libaudit-common:all <none> 1:3.0.9-1
2026-05-21 15:19:22 status half-installed libaudit-common:all 1:3.0.9-1
2026-05-21 15:19:22 status unpacked libaudit-common:all 1:3.0.9-1
2026-05-21 15:19:23 install libaudit1:armhf <none> 1:3.0.9-1
2026-05-21 15:19:23 status half-installed libaudit1:armhf 1:3.0.9-1
2026-05-21 15:19:23 status unpacked libaudit1:armhf 1:3.0.9-1
2026-05-21 15:19:23 install libblkid1:armhf <none> 2.38.1-5+deb12u3
2026-05-21 15:19:23 status half-installed libblkid1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:24 status unpacked libblkid1:armhf 2.38.1-5+deb12u3
2026-05-21 15:19:24 install libbz2-1.0:armhf <none> 1.0.8-5+b1
2026-05-21 15:19:24 status half-installed libbz2-1.0:armhf 1.0.8-5+b1
2026-05-21 15:19:24 status unpacked libbz2-1.0:armhf 1.0.8-5+b1
2026-05-21 15:19:25 install libc-bin:armhf <none> 2.36-9+deb12u14
2026-05-21 15:19:25 status half-installed libc-bin:armhf 2.36-9+deb12u14
2026-05-21 15:19:25 status unpacked libc-bin:armhf 2.36-9+deb12u14
2026-05-21 15:19:26 upgrade libc6:armhf 2.36-9+deb12u14 2.36-9+deb12u14
2026-05-21 15:19:26 status half-configured libc6:armhf 2.36-9+deb12u14
2026-05-21 15:19:26 status unpacked libc6:armhf 2.36-9+deb12u14
2026-05-21 15:19:26 status half-installed libc6:armhf 2.36-9+deb12u14
2026-05-21 15:19:29 status unpacked libc6:armhf 2.36-9+deb12u14
2026-05-21 15:19:29 install libcap-ng0:armhf <none> 0.8.3-1+b3
2026-05-21 15:19:29 status half-installed libcap-ng0:armhf 0.8.3-1+b3
2026-05-21 15:19:30 status unpacked libcap-ng0:armhf 0.8.3-1+b3
2026-05-21 15:19:30 install libcap2:armhf <none> 1:2.66-4+deb12u3+b1
2026-05-21 15:19:30 status half-installed libcap2:armhf 1:2.66-4+deb12u3+b1
2026-05-21 15:19:30 status unpacked libcap2:armhf 1:2.66-4+deb12u3+b1
2026-05-21 15:19:31 install libcom-err2:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:31 status half-installed libcom-err2:armhf 1.47.0-2+b2
2026-05-21 15:19:31 status unpacked libcom-err2:armhf 1.47.0-2+b2
2026-05-21 15:19:32 install libcrypt1:armhf <none> 1:4.4.33-2
2026-05-21 15:19:32 status half-installed libcrypt1:armhf 1:4.4.33-2
2026-05-21 15:19:32 status unpacked libcrypt1:armhf 1:4.4.33-2
2026-05-21 15:19:33 install libdb5.3:armhf <none> 5.3.28+dfsg2-1
2026-05-21 15:19:33 status half-installed libdb5.3:armhf 5.3.28+dfsg2-1
2026-05-21 15:19:33 status unpacked libdb5.3:armhf 5.3.28+dfsg2-1
2026-05-21 15:19:34 install libdebconfclient0:armhf <none> 0.270
2026-05-21 15:19:34 status half-installed libdebconfclient0:armhf 0.270
2026-05-21 15:19:34 status unpacked libdebconfclient0:armhf 0.270
2026-05-21 15:19:34 install libext2fs2:armhf <none> 1.47.0-2+b2
2026-05-21 15:19:34 status half-installed libext2fs2:armhf 1.47.0-2+b2
2026-05-21 15:19:35 status unpacked libext2fs2:armhf 1.47.0-2+b2
2026-05-21 15:19:35 install libffi8:armhf <none> 3.4.4-1
2026-05-21 15:19:35 status half-installed libffi8:armhf 3.4.4-1
2026-05-21 15:19:35 status unpacked libffi8:armhf 3.4.4-1
2026-05-21 15:19:36 install libgcc-s1:armhf <none> 12.2.0-14+deb12u1
2026-05-21 15:19:36 status half-installed libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:36 status unpacked libgcc-s1:armhf 12.2.0-14+deb12u1
2026-05-21 15:19:37 install libgcrypt20:armhf <none> 1.10.1-3
2026-05-21 15:19:37 status half-installed libgcrypt20:armhf 1.10.1-3
2026-05-21 15:19:37 status unpacked libgcrypt20:armhf 1.10.1-3
2026-05-21 15:19:38 install libgmp10:armhf <none> 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:38 status half-installed libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:38 status unpacked libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-05-21 15:19:39 install libgnutls30:armhf <none> 3.7.9-2+deb12u6
2026-05-21 15:19:39 status half-installed libgnutls30:armhf 3.7.9-2+deb12u6
2026-05-21 15:19:39 status unpacked libgnutls30:armhf 3.7.9-2+deb12u6
2026-05-21 15:19:40 install libgpg-error0:armhf <none> 1.46-1
2026-05-21 15:19:40 status half-installed libgpg-error0:armhf 1.46-1
2026-05-21 15:19:40 status unpacked libgpg-error0:armhf 1.46-1
2026-05-21 15:19:41 install libhogweed6:armhf <none> 3.8.1-2
